1764.9150612354279
TRY24,TRY25
SNode_17,SNode_91
SNode_119,SNode_91
SNode_8,SNode_91
SNode_19,KINE29
SNode_19,KNOWN6
RApp5,KNOWN6
SNode_9,KNOWN6
GOAL_108,GOAL_126
GOAL_114,SNode_115
NEED36,SNode_115
SNode_5,SNode_115
SNode_47,VELOCITY7
SNode_3,VELOCITY7
GOAL_69,IDENTIFY41
SNode_5,WRITE31
GOAL_109,RApp7
NEED67,RApp7
GOAL_109,GOAL_108
GOAL_103,GOAL_108
WRITE63,GOAL_108
SNode_16,GOAL_108
TRY12,TRY15
APPLY77,RESOLVE37
RApp7,SNode_112
NEED36,SNode_112
GOAL_109,SNode_112
GOAL66,SNode_112
SNode_38,SNode_40
VALUE3,SNode_40
RApp12,GOAL_143
GOAL_81,GOAL_143
KINE29,IDENTIFY10
GOAL_83,GOAL_81
RApp5,GOAL_81
SNode_75,GOAL_81
STRAT_90,SNode_92
BUGGY54,SNode_92
SNode_12,SNode_92
SNode_68,GOAL_66
VECTOR44,GOAL_66
COMPO16,GOAL_48
GOAL_2,GOAL_48
GOAL_49,GOAL_48
GOAL_130,SNode_131
RApp10,GOAL_127
NEED36,GOAL_127
TRY12,TRY11
GOAL_49,TRY11
RApp12,TRY11
SNode_16,CHOOSE62
INCLINE51,NORMAL52
SNode_8,WEIGHT57
SNode_28,SNode_29
VAR20,SNode_29
SNode_65,SNode_29
SNode_4,CHOOSE35
CONSTANT5,SNode_34
SNode_10,SNode_34
NEED36,SNode_123
VECTOR73,SNode_123
GOAL_63,SNode_64
NEED36,SNode_64
SNode_65,SNode_64
SNode_134,SYSTEM46
SNode_13,SYSTEM46
SNode_21,GRAV2
GOAL_108,WRITE30
SNode_123,IDENTIFY59
SNode_51,SYSTEM18
GOAL_50,CHOOSE19
SNode_94,SNode_97
IDENTIFY55,SNode_97
GOAL_87,SNode_97
SNode_20,NEED1
SNode_51,SNode_52
KINEMATI17,SNode_52
GOAL_56,SNode_52
GOAL_49,SNode_52
GOAL_98,NEWTONS45
GOAL_108,GOAL_107
WRITE64,GOAL_107
GOAL_109,GOAL_107
GOAL_103,GOAL_107
WRITE63,GOAL_107
GOAL_147,RApp13
VECTOR27,RApp13
RApp12,RApp13
GOAL_110,GOAL_113
GOAL68,GOAL_113
RApp6,GOAL_80
SNode_75,GOAL_80
EQUATION28,GOAL_80
GOAL_56,GOAL_49
GOAL_53,GOAL_49
APPLY32,GOAL_49
IDENTIFY10,GOAL_49
NULL48,SNode_65
RESOLVE37,SNode_65
CONSTANT5,SNode_26
RApp3,SNode_26
SNode_11,SNode_26
GOAL_149,TRY76
GOAL_69,SNode_71
VECTOR44,SNode_71
SNode_70,SNode_71
SNode_8,GIVEN_1
KINEMATI17,GIVEN_1
GOAL_50,SNode_51
GOAL_53,SNode_51
KINEMATI17,SNode_51
SNode_68,GRAV78
SNode_16,NEED36
SNode_124,NEED36
SNode_6,NEED36
KNOWN6,RApp3
SNode_27,RApp3
SNode_94,SNode_10
GOAL_87,SNode_10
SNode_15,SNode_25
SNode_88,SNode_25
GOAL_87,SNode_25
SNode_27,KNOWN8
RApp3,KNOWN8
GOAL_53,SNode_54
IDENTIFY41,SNode_54
GOAL_69,SNode_54
GOAL_129,SNode_133
GOAL_98,SNode_100
IDENTIFY59,SNode_100
SNode_123,SNode_100
IDENTIFY10,GOAL_53
SNode_5,GOAL_53
SNode_7,GOAL_53
SNode_91,BUGGY54
SNode_88,BUGGY54
STRAT_90,BUGGY54
GOAL_126,GOAL_129
GOAL68,GOAL_129
SNode_94,WEIGHT56
TRY25,TRY26
SNode_33,GIVEN21
SNode_43,SNode_44
VAR20,SNode_44
GOAL_53,KINEMATI17
SNode_6,VECTOR73
GOAL_109,SNode_125
SUM75,SNode_125
SNode_112,SNode_125
DISPLACEM0,RApp1
SNode_3,RApp1
SNode_94,SNode_95
WEIGHT57,SNode_95
RApp5,VECTOR27
GOAL_79,VECTOR27
GOAL_72,SNode_73
NEED36,SNode_73
SNode_75,SNode_73
GOAL_56,GOAL_61
WRITE31,GOAL_61
AXIS33,GOAL_61
GOAL_69,GOAL_61
KINE29,GOAL_98
GOAL_108,SNode_137
SUM75,SNode_137
SNode_128,SNode_137
GOAL_66,SNode_15
GOAL_103,GOAL_104
CHOOSE62,GOAL_104
GOAL_149,GOAL_150
SNode_37,GOAL_150
RApp5,GOAL_79
GOAL_49,TRY12
RApp6,TRY12
RApp12,TRY12
GOAL_143,TRY12
KNOWN6,SNode_42
RApp3,SNode_42
SNode_43,SNode_42
GIVEN_1,RApp2
SNode_8,RApp2
KNOWN8,RApp4
SNode_11,RApp4
GOAL_121,SNode_122
NEED36,SNode_122
GOAL_53,SNode_28
IDENTIFY9,SNode_28
GOAL_63,SNode_28
GOAL_61,GOAL_62
WRITE30,GOAL_62
GOAL_63,GOAL_62
GOAL_69,GOAL_62
RApp11,GOAL_142
GOAL_87,SNode_88
SNode_91,SNode_88
GOAL_103,SNode_88
VECTOR27,GOAL_147
SNode_106,SNode_152
AXIS33,SNode_152
SNode_71,FIND58
RApp9,NEED67
GOAL_108,NEED67
SNode_86,SNode_156
NEWTONS45,SNode_156
GOAL_98,SNode_156
DEFINE23,SNode_156
GOAL_84,CHOOSE47
SNode_91,STRAT_90
SNode_88,STRAT_90
GOAL_57,SNode_59
MAXIMIZE34,SNode_59
SNode_7,SNode_59
GOAL_83,GOAL_84
SNode_29,GOAL_84
SNode_21,SNode_24
VALUE3,SNode_24
GOAL_147,RApp12
VECTOR27,RApp12
GOAL_49,RApp12
SNode_88,SNode_102
SNode_94,SNode_102
FORCE60,SNode_102
CONSTANT5,SNode_41
SNode_9,SNode_41
SNode_42,SNode_41
SNode_37,SNode_38
VAR20,SNode_38
GOAL_56,GOAL_57
CHOOSE35,GOAL_57
RApp8,GOAL_111
NEED36,GOAL_111
SNode_123,SUM75
SNode_10,SUM75
GOAL_108,GOAL_153
GOAL72,GOAL_153
GOAL_109,GOAL_110
GOAL65,GOAL_110
SNode_7,FIND49
GOAL_109,GOAL_121
SNode_123,GOAL_121
SNode_100,GOAL_121
VECTOR73,GOAL_121
VECTOR69,VECTOR44
SNode_29,SNode_31
VALUE3,SNode_31
SNode_88,SNode_93
IDENTIFY55,SNode_93
VECTOR44,SNode_75
NEED36,SNode_75
SNode_3,SNode_75
GOAL_110,GOAL_114
GOAL68,GOAL_114
RApp3,SNode_47
KNOWN6,SNode_47
SNode_26,SNode_47
SNode_3,SNode_47
GOAL_103,GOAL_109
WRITE63,GOAL_109
SNode_124,GOAL_109
NEWTONS74,GOAL_109
GOAL_2,GOAL_109
SNode_91,SNode_118
GOAL_113,SNode_118
VECTOR70,SNode_118
SNode_75,GOAL_72
VECTOR44,GOAL_72
NEED36,GOAL_72
SNode_4,GOAL_72
GOAL_121,GOAL72
GOAL_109,GOAL72
SNode_3,VAR20
GOAL_61,MAXIMIZE34
GOAL_56,MAXIMIZE34
APPLY61,GOAL_103
SNode_132,GOAL_103
SNode_112,RApp8
NEED36,RApp8
GOAL66,RApp8
GOAL_109,RApp8
GOAL_109,WRITE64
GOAL_108,WRITE64
GOAL_98,SNode_37
IDENTIFY22,SNode_37
GOAL_69,SNode_70
NEED36,SNode_70
SNode_10,AXIS33
RESOLVE40,GOAL_69
WRITE31,GOAL_69
SNode_11,SNode_27
KNOWN6,SNode_27
SNode_28,SNode_27
SNode_18,IDENTIFY55
SNode_14,IDENTIFY55
GOAL_126,GOAL_130
GOAL68,GOAL_130
SNode_8,DISPLACEM0
RApp2,DISPLACEM0
SNode_65,GOAL_63
NULL48,GOAL_63
NEED36,GOAL_63
GOAL_83,TRY24
GOAL_81,TRY24
RApp5,GOAL_83
GOAL_98,GOAL_83
GOAL_87,GOAL_83
GOAL_103,GOAL_83
SNode_7,IDENTIFY9
SNode_94,GOAL_87
WEIGHT56,GOAL_87
SNode_16,GOAL_87
FIND49,GOAL_87
GOAL_98,GOAL_87
SNode_16,RApp5
SNode_17,RApp5
SNode_21,SNode_20
GRAV2,SNode_20
SNode_16,SNode_20
